id|faction_id|name|legend|type|
000000765|AC|Shield Host|||
000000861|AC|Talons Of The Emperor|||
000000862|AC|Null Maiden Vigil|||
000000863|AC|Auric Champions|||
000000909|AC|Voyagers in Darkness|<b>Some shield companies of the Adeptus Custodes set sail into the darkness between the stars, either guided by visions of the Emperor’s will or believing that they can do the most to defend Terra by seeking out and destroying distant threats.</b>|Boarding Actions|
000000910|AC|Black Ship Guardians|<b>Whether fighting furiously to prevent enemies from boarding one of the sinister Black Ships and freeing its psyker inmates, or sweeping into an enemy vessel or installation to seize and imprison powerful witches, the Sisters of Silence are a force to be reckoned with in void warfare.</b>|Boarding Actions|
000000986|AC|Solar Spearhead|<p class="ShowFluff legend">Within the deepest engine vaults of the Imperial Palace, the ancient and mighty vehicles of the Custodians reside. Auramite-clad combat walkers bristling with arcane weapons are roused from stasis, ready to be unleashed upon the galaxy’s battlefields. Venerable Land Raiders as old as the Imperium are awoken by complex rituals and prepared for war. When battle dawns, these dread engines of destruction stride or rumble towards the cowering foe, their guns emitting furious torrents of destruction. Those brave or foolish enough to stand before this armoured spearhead are crushed beneath the tread of auric battle tanks or smashed to a bloody pulp by wrathful interred champions.</p>||
000001029|AC|Lions of the Emperor|<p class="ShowFluff legend">Many of the galaxy’s warrior cultures accept the time-honoured truth that there is greater strength in numbers. Not so for the champions of the Adeptus Custodes, the Lions of the Emperor. Each of them is an army unto themselves, a warrior of legend gifted with terrifying strength, armoured in nigh-impenetrable golden plate and possessing limitless resolve. When the greatest Custodians take to the field at once, those auric-armoured champions have no need to pool their resources in order to smite their foes. Relying instead upon their superhuman strength and mastery of martial ka’tahs, they hurl themselves into the midst of the enemy, sweeping aside gunlines, eviscerating rampaging monsters and obliterating enemy war machines with terrifying ease.</p>||
000000762|AdM|Rad-Zone Corps|||
000000820|AdM|Skitarii Hunter Cohort|||
000000821|AdM|Data-Psalm Conclave|||
000000822|AdM|Explorator Maniple|||
000000823|AdM|Cohort Cybernetica|||
000000912|AdM|Electromartyrs|<b>When precious technoreliquaries must be protected or rare archeotech seized in shipboard battles, Tech-Priests quickly cast aside whatever restraint they may have had. Lesser underlings are expended without a care and perilous technologies unleashed in the quest for higher knowledge.</b>|Boarding Actions|
000000913|AdM|Response Clade|<b>Just as white blood cells will defend a Human body, so the clades of Skitarii embedded on Adeptus Mechanicus vessels respond with systematic aggression to enemy intrusions. Once their own ship is secure, they are capable of counterboarding operations to destroy the threat at its source.</b>|Boarding Actions|
000000914|AdM|Machine Cult|<b>The voidships of the Adeptus Mechanicus are as much spacegoing temples to the Omnissiah as they are floating forges or esoteric warships. The teeming tech-clergy aboard such ships form zealous armies in their own right, responding with fanatical aggression to any foe.</b>|Boarding Actions|
000000984|AdM|Haloscreed Battle Clade|<p class="ShowFluff legend">Tech-Priests often monitor their forces remotely, but those who lead battle clades take this intervention to an extreme, exerting even finer control over their thralls. Projecting fragments of their consciousness through the noospheric battle-sphere, they override the autonomy of their soldiery and inload tactical information, target coordinates and vector directives into cybernetic minds. Such assistance is gratefully received by the Machine God’s faithful, who feel blessed by the rush of divine wisdom and implanted knowledge.</p>||
000000919|AE|Khaine’s Arrow|<b>Honed to a single, perfect point, the Aeldari Aspect Warriors streak across the void of space aboard Vampire Raiders before plunging deep into the heart of the enemy ship. Perhaps they strike the bridge. Maybe they pierce the defences of the enginarium. Wherever they hit home, they bring doom to the foe.</b>|Boarding Actions|
000000920|AE|Protector Host|<b>The Aeldari fight furiously to defend their irreplaceable voidships - doubly so if the conflict threatens one of their spacefaring craftworlds. In such a battle they deploy their full might without a second thought, citizen soldiery and Aspect Warriors alike rallying to defend that which is precious to them.</b>|Boarding Actions|
000000921|AE|Wraiths of the Void|<b>When a void battle is sufficiently vital or desperate, the Aeldari awaken their wraith constructs. Resilient, powerful and utterly focused upon their duty, such ghost warriors are a force of unimaginable devastation amidst the close confines of a boarding battle.</b>|Boarding Actions|
000000922|AE|Star-dancer Masque|<b>When Harlequins board an enemy ship they follow Saedath that cast them in the roles of void-soaring mythic hawks and serpents, or else the heroes Ulthanash and Eldanesh raiding the stronghold of some monstrous foe. They flow through the steps with blistering speed, laying low all who oppose them.</b>|Boarding Actions|
000000990|AE|Armoured Warhost|<p class="ShowFluff legend">When unleashed upon the battlefield in number, the vehicles of the Aeldari can bring a terrifying volume of firepower to bear with exceptional speed. As supersonic Aeldari aircraft suppress the enemy with strafing and bombing runs, sleek battle-skimmers sweep low across war-scarred terrain, hunting down and obliterating their targets with scintillating volleys. Successive waves of armoured transports follow, their shields and wraithbone hulls turning aside incoming munitions as they sweep low to disgorge waves of Aspect Warriors and Guardian soldiers into the fight. As the Aeldari infantry move to seize their objectives and annihilate the enemy, agile walkers sprint towards the flanks of the overwhelmed foe, their guns spitting vibrant streams of enfilading fire into massed enemies and ensuring that none escape the wrath of the Asuryani.</p>||
000001017|AE|Warhost|<p class="ShowFluff legend">When all the varied warriors and war machines of a craftworld gather to fight in its defence, they form a Warhost. Exemplified by the dreaded Swordwind of Biel-Tan, these armies alloy many specialised units into a greater whole that combines precisely applied martial might with blistering speed. The result is a force that - often outnumbered - possesses every weapon it requires to achieve victory, guided by the skilled hands and gifted minds of those who can seize it. Cold-eyed Guardians secure vital strategic sites and defend them with salvoes of firepower. Streaking assault craft fill the skies, jetbike-mounted warriors slashing through the enemy ranks. At the same time, grav-tanks wheel gracefully to pick off enemy war engines or debark squads of elite Aspect Warriors precisely where and when they are needed. Supported by eldritch artillery and psychic might, the Warhost strikes the foe a series of crippling blows while evading their clumsy attacks in return, until soon enough, the battle’s outcome is beyond any doubt.</p>||
000001018|AE|Windrider Host|<p class="ShowFluff legend">Squadrons of jetbikes slice the air like hurled daggers as the Windrider Host sweeps down upon its prey. Prioritising breathtaking speed over almost all other concerns, these formations of high-tech airborne cavalry strike at will along the enemy battle line. Their onset is shockingly sudden, a storm that rises with the scream of anti-grav engines and the whine of rapid-firing shuriken and laser weapons, then sweeps over the foe in eruptions of blood and terror. Faster than thought, the Windrider Host has overshot the foe and arced away to leave any threat of retribution foundering in its wake. Often, the Aeldari hit their enemies so hard and fast that jets of gore are still pattering to the ground, corpses still tumbling, and war engines only just starting to shake with detonations as the jetbikes dwindle into the distance. Yet this is not the end of the foe’s suffering, but rather its beginning. The Windrider Host will return, arrowing in for another attack run again and again until all that remains of the enemy is bodies, wreckage, and fleeing remnants.</p>||
000001019|AE|Spirit Conclave|<p class="ShowFluff legend">Only in the most desperate circumstances will a craftworld’s seers authorise the mass awakening of their dead. At such times, Spiritseers, Warlocks and Farseers come together as one, forming a psychic choir to bind the spirits of the fallen into wraithbone form. While living Aeldari often fight alongside these revenants, the greater strength of such forces is graven in wraithbone, driven by the implacable wills of warrior ghosts and armed with nightmarish tools of destruction. Striding into battle with stately grace, Wraithguard and Wraithlords lay down ferocious firepower. Where enemy resistance is strongest, Wraithblades stalk and strike while the long shadows of Wraithknights fall across the foe like a promise of doom soon to be fulfilled. Together, the psychically linked seers guide the slaughter with eerie calm, issuing command after command to their undying allies. In the face of such implacable destruction, and with their own mightiest weapons seemingly ineffective, even the boldest enemies soon crumble.</p>||
000001020|AE|Guardian Battlehost|<p class="ShowFluff legend">So few are the Aeldari in number and so desperate in their plight that all must be capable warriors when needed. Sometimes a foe may jeopardise a craftworld so severely that every martial asset must be deployed to drive them back. At others, threats or opportunities may arise in so short a space of time that Aspect Warriors, Outcasts and Commorrite allies alone are not enough. Whatever the case, when the massed Guardians of a craftworld answer the call to war, they can prove a versatile, durable and utterly determined force. Hails of shuriken fire and scatter laser salvoes rake the enemy lines. War Walkers and grav-tanks pick off heavier enemy assets with inescapable precision and fury. Aspect Warriors drawn from the shrines of the home craftworld fight in support of their more numerous kin, bands of Dire Avengers leading them on the fleet-footed attack or implacable defence. Faced with the might of the Guardian Battlehost, foes are made to rue their foolishness in rousing a craftworld’s wrath.</p>||
